yy1,myEd,sumNormW,sumLWall
1489,2,43.36234591777404,0.4844044792089153
3779,2,43.42191156859555,0.4870151754875315
276,2,43.48834169342183,0.48993151491741616
2796,2,43.54228548572526,0.4923009068514305
205,3,43.59767502793655,0.494739032991368
3372,3,43.64049917232446,0.49663060712220564
3678,2,43.65878381243038,0.49743907564939194
780,2,43.696821175356106,0.4991277687791295
2441,2,43.738850470579635,0.5010005298923148
1957,3,43.768566365545254,0.5023286078874964
221,2,43.80353401514808,0.503897534138071
202,2,43.863317110662805,0.5066066613225808
275,2,43.924240777279834,0.5093689543588584
2409,3,43.9719005796425,0.5115405795253057
1369,2,44.01764182864859,0.5136268430146514
412,2,44.07582143929248,0.5162843469832303
4330,3,44.15725679669878,0.5200935675545547
3960,3,44.18511258410584,0.5213984043534757
2457,2,44.26437954956081,0.5251136123692718
2577,2,44.3158265403764,0.5275332411163841
683,2,44.372359392228,0.5302032541230602
1308,3,44.426023006288126,0.5327377547334649
1468,3,44.499981761463296,0.5362307828013505
1605,3,44.549848347219225,0.5385859520207693
2803,2,44.612979005428485,0.5415675755019487
2954,2,44.6546666626125,0.5435364587840332
2971,2,44.68964425083783,0.5451884294956635
3051,3,44.692182797992835,0.5453083235696389
4189,1,44.693612764163596,0.5453758600223383
4383,2,44.74852336827942,0.547969255232234
4407,3,44.804763017208884,0.5506254204390904
378,1,44.859157264179046,0.5531949422093588
4328,2,44.92165953690877,0.5561586951984976
4076,3,44.928850439312775,0.5564999474327423
1585,1,44.968013755844574,0.5583839584373187
1701,2,45.02217525654949,0.5609931342481782
3927,1,45.08448437806067,0.5639971677532365
4096,3,45.159222046878384,0.5676211118682779
3942,2,45.22957056557881,0.5710663423045899
2798,2,45.270338826750475,0.5730651539451168
2929,2,45.33493208981639,0.5762392257509575
1378,2,45.39072817806281,0.5790016851419264
2947,2,45.42568055949584,0.5807343754935709
3164,3,45.46434188818746,0.5826597631852403
36,3,45.52609532513915,0.5857513360129976
2500,2,45.57697911626872,0.5883016237648531
2742,3,45.63404449367806,0.5912052136433786
4300,3,45.68793450374384,0.5939540222553673
2986,3,45.743088416726025,0.5967732537483038
186,2,45.79724146805397,0.5995452228061651
4176,3,45.83198880045923,0.6013245145736145
1621,2,45.88685857528061,0.6041479794263414
1356,2,45.94854905062947,0.6073529443766685
1552,2,45.987552301642516,0.6093792547874531
1566,3,46.03475369563086,0.6118314779626479
